# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.39992957651412864
# n_degenerate 4
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3 mass4
7.793248373075363500e-02 7.917955593934921099e-01 -4.318910696719410192e-01 4.318910696719410192e-01 4.765188416265948024e-01 4.765165045337605987e-01 3.027394031438200850e-01 3.027398107789218140e-01
7.793248373075363500e-02 7.917955593934921099e-01 4.318910696719410192e-01 -4.318910696719410192e-01 4.765189209494092304e-01 4.765164730516719405e-01 3.027394235356308250e-01 3.027397954135263580e-01
7.793248373075363500e-02 -7.917955593934921099e-01 -4.318910696719410192e-01 4.318910696719410192e-01 4.765189209494092304e-01 4.765164730516719405e-01 3.027394235356308250e-01 3.027397954135263580e-01
7.793248373075363500e-02 -7.917955593934921099e-01 4.318910696719410192e-01 -4.318910696719410192e-01 4.765188416265948024e-01 4.765165045337605987e-01 3.027394031438200850e-01 3.027398107789218140e-01
7.793248373075363500e-02 7.917955593934921099e-01 -4.318910696719410192e-01 -4.318910696719410192e-01 4.765204169446082272e-01 4.765150751767016080e-01 3.027387535762762760e-01 3.027404583243579750e-01
7.793248373075363500e-02 -7.917955593934921099e-01 -4.318910696719410192e-01 -4.318910696719410192e-01 4.765144571820586483e-01 4.765210824387255961e-01 3.027413126633274887e-01 3.027379196865653266e-01
6.882781368562168600e-02 2.613931360335988163e-01 9.652324219764484292e-01 0.000000000000000000e+00 6.478909056872114158e-01 6.478912551513942297e-01 2.591913063292684005e-01 2.591907610478348389e-01
6.882781368562168600e-02 -2.613931360335988163e-01 9.652324219764484292e-01 0.000000000000000000e+00 6.478931996246738434e-01 6.478892231098499765e-01 2.591910498207901092e-01 2.591912454306473101e-01
6.882781368562168600e-02 2.613931360335988163e-01 -9.652324219764484292e-01 0.000000000000000000e+00 6.478931996246738434e-01 6.478892231098499765e-01 2.591910498207901092e-01 2.591912454306473101e-01
6.882781368562168600e-02 -2.613931360335988163e-01 -9.652324219764484292e-01 0.000000000000000000e+00 6.478909056872114158e-01 6.478912551513942297e-01 2.591913063292684005e-01 2.591907610478348389e-01
6.882781368562168600e-02 9.652324219764484292e-01 2.613931360335988163e-01 0.000000000000000000e+00 6.478909433145488839e-01 6.478914503841034511e-01 2.591912981476168776e-01 2.591908794091219437e-01
6.882781368562168600e-02 -9.652324219764484292e-01 2.613931360335988163e-01 0.000000000000000000e+00 6.478930871188237628e-01 6.478897383467049353e-01 2.591909522821579936e-01 2.591912077754666699e-01
6.882781368562168600e-02 9.652324219764484292e-01 -2.613931360335988163e-01 0.000000000000000000e+00 6.478930871188237628e-01 6.478897383467049353e-01 2.591909522821579936e-01 2.591912077754666699e-01
6.882781368562168600e-02 -9.652324219764484292e-01 -2.613931360335988163e-01 0.000000000000000000e+00 6.478909433145488839e-01 6.478914503841034511e-01 2.591912981476168776e-01 2.591908794091219437e-01
6.882781368562168600e-02 2.613931360335988163e-01 0.000000000000000000e+00 9.652324219764484292e-01 6.478990789884415680e-01 6.478994463285356886e-01 2.591900299285095355e-01 2.591895143306915950e-01
6.882781368562168600e-02 -2.613931360335988163e-01 0.000000000000000000e+00 9.652324219764484292e-01 6.479009557151762522e-01 6.478972897510141271e-01 2.591896753329144265e-01 2.591898855136793300e-01
6.882781368562168600e-02 2.613931360335988163e-01 0.000000000000000000e+00 -9.652324219764484292e-01 6.479009557151762522e-01 6.478972897510141271e-01 2.591896753329144265e-01 2.591898855136793300e-01
6.882781368562168600e-02 -2.613931360335988163e-01 0.000000000000000000e+00 -9.652324219764484292e-01 6.478990789884415680e-01 6.478994463285356886e-01 2.591900299285095355e-01 2.591895143306915950e-01
6.882781368562168600e-02 9.652324219764484292e-01 0.000000000000000000e+00 2.613931360335988163e-01 6.478917626454876455e-01 6.478921106028573407e-01 2.591911105609649435e-01 2.591907448565282657e-01
6.882781368562168600e-02 -9.652324219764484292e-01 0.000000000000000000e+00 2.613931360335988163e-01 6.478945159620418393e-01 6.478899106233509952e-01 2.591908767849695483e-01 2.591911237646988275e-01
6.882781368562168600e-02 9.652324219764484292e-01 0.000000000000000000e+00 -2.613931360335988163e-01 6.478945159620418393e-01 6.478899106233509952e-01 2.591908767849695483e-01 2.591911237646988275e-01
6.882781368562168600e-02 -9.652324219764484292e-01 0.000000000000000000e+00 -2.613931360335988163e-01 6.478917626454876455e-01 6.478921106028573407e-01 2.591911105609649435e-01 2.591907448565282657e-01
6.882781368562168600e-02 0.000000000000000000e+00 2.613931360335988163e-01 9.652324219764484292e-01 6.478988751756982190e-01 6.479003114513940398e-01 2.591900807899917281e-01 2.591894828879491852e-01
6.882781368562168600e-02 0.000000000000000000e+00 -2.613931360335988163e-01 9.652324219764484292e-01 6.479011326153626404e-01 6.478975093942678232e-01 2.591898013001723289e-01 2.591900022951616478e-01
6.882781368562168600e-02 0.000000000000000000e+00 2.613931360335988163e-01 -9.652324219764484292e-01 6.479011326153626404e-01 6.478975093942678232e-01 2.591898013001723289e-01 2.591900022951616478e-01
