# base_kpoint_direct 0.0 0.0 0.0
# effective_genFröhlich_mass 0.5109478137187771
# n_degenerate 3
# lebedev_order 21
# sphere_radius 0.0014469931558637238
# 
# weight kx ky kz mass1 mass2 mass3
6.882781368562168600e-02 2.613931360335988163e-01 0.000000000000000000e+00 -9.652324219764484292e-01 2.451220146292345525e+00 2.784771196177673325e-01 2.606790166563994204e-01
6.882781368562168600e-02 -2.613931360335988163e-01 0.000000000000000000e+00 -9.652324219764484292e-01 2.451220165864165690e+00 2.784771169157458925e-01 2.606790162599824101e-01
6.882781368562168600e-02 9.652324219764484292e-01 0.000000000000000000e+00 2.613931360335988163e-01 2.451219995857642608e+00 2.784771160649008870e-01 2.606790161111064430e-01
6.882781368562168600e-02 -9.652324219764484292e-01 0.000000000000000000e+00 2.613931360335988163e-01 2.451220029968525171e+00 2.784771180199634433e-01 2.606790158336049767e-01
6.882781368562168600e-02 9.652324219764484292e-01 0.000000000000000000e+00 -2.613931360335988163e-01 2.451220029968525171e+00 2.784771180199634433e-01 2.606790158336049767e-01
6.882781368562168600e-02 -9.652324219764484292e-01 0.000000000000000000e+00 -2.613931360335988163e-01 2.451219995857642608e+00 2.784771160649008870e-01 2.606790161111064430e-01
6.882781368562168600e-02 0.000000000000000000e+00 2.613931360335988163e-01 9.652324219764484292e-01 2.451219901161681758e+00 2.784771169581387040e-01 2.606790151825880142e-01
6.882781368562168600e-02 0.000000000000000000e+00 -2.613931360335988163e-01 9.652324219764484292e-01 2.451219855926217051e+00 2.784771149458112327e-01 2.606790157778683392e-01
6.882781368562168600e-02 0.000000000000000000e+00 2.613931360335988163e-01 -9.652324219764484292e-01 2.451219855926217051e+00 2.784771149458112327e-01 2.606790157778683392e-01
6.882781368562168600e-02 0.000000000000000000e+00 -2.613931360335988163e-01 -9.652324219764484292e-01 2.451219901161681758e+00 2.784771169581387040e-01 2.606790151825880142e-01
6.882781368562168600e-02 0.000000000000000000e+00 9.652324219764484292e-01 2.613931360335988163e-01 2.451220196693312925e+00 2.784771154828110107e-01 2.606790164015758693e-01
6.882781368562168600e-02 0.000000000000000000e+00 -9.652324219764484292e-01 2.613931360335988163e-01 2.451219899495394206e+00 2.784771164692910195e-01 2.606790161265338801e-01
